date,value
2000,110.509166666667
2001,125.0975
2002,121.873333333333
2003,113.0025
2004,107.485
2005,113.239166666667
2006,116.9375
2007,114.2025
2008,100.425
2009,92.8108333333333
2010,85.6758333333333
2011,79.015
2012,83.0533333333333
2013,100.209166666667
2014,109.915
2015,120.1075
2016,108.385833333333
2017,110.81
2018,110.894166666667
2019,108.6975
2020,106.0325
2021,112.345
2022,135.395
2023,144.58
2024,152.489166666667
2025,150.018181818182
2026,
